mode,date,TZname_on,TZcode_on,TZname_off,TZcode_off,count
bus,20200323,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,Sheraton On The Park,98,93
bus,20200323,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,Sydney CBD_Belmore Park,134,104
bus,20200323,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,Sydney CBD_Downing Centre,121,117
bus,20200323,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,Sydney CBD_Savings Bank Building,60,114
bus,20200323,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,Sydney CBD_Sydney Central Building,140,58
bus,20200323,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,Sydney TAFE,144,713
bus,20200323,Broadway Shopping Centre_Glebe_Mountain St and Small St,158,UTS_Ultimo_West,159,52
bus,20200323,Bronte,505,Bondi Junction Station,517,125
bus,20200323,Bronte Beach,504,Bondi Junction Station,517,228
bus,20200323,Brookvale Industrial Area,2144,,,169
bus,20200323,Brookvale Industrial Area,2144,Big Bear Shopping Centre,1940,109
bus,20200323,Brookvale Industrial Area,2144,Brookvale Industrial Area,2144,145
bus,20200323,Brookvale Industrial Area,2144,Mackellar Girls High School,2157,176
bus,20200323,Brookvale Industrial Area,2144,Manly Grove Buisness Park,2210,91
bus,20200323,Brookvale Industrial Area,2144,Manly Oval,2208,86
bus,20200323,Brookvale Industrial Area,2144,Mosman Pk,1927,85
